name,xgb_apfd,lgb_apfd,rf_apfd,lr_apfd,deepGini_apfd,vanillasoftmax_apfd,pcs_apfd,entropy_apfd,random_apfd
original,0.7778268189557864,0.7839581778874668,0.778396181292927,0.7531705217241578,0.765765941571486,0.7661654135338346,0.7642637127169069,0.7630086667049303,0.5109120128565688
channel_shift_range,0.7116363779403666,0.709102577070479,0.7014146352428156,0.6749150904166246,0.674876091574227,0.6756347145891636,0.6733875046360295,0.6713111253469998,0.4937208492082223
featurewise_std_normalization,0.7778268189557864,0.7839581778874668,0.7780931335973522,0.7531705217241578,0.765765941571486,0.7661654135338346,0.7642637127169069,0.7630086667049303,0.4817566817807879
height_shift,0.7013544826979731,0.704346062524733,0.7010054742118454,0.6872155168623313,0.6750291298421492,0.6756210702194082,0.6721414281317328,0.6713878995734951,0.5040578419733545
horizontal_flip,0.6659127263665857,0.666482506457348,0.6657622545848368,0.645536738596012,0.6348313422178774,0.6338293151617093,0.6280466941732917,0.6355151741686914,0.5061813232891023
shear_range,0.7779094048485269,0.7823983537953948,0.7783013216605261,0.7546292382261337,0.7652275850917617,0.7648980361810825,0.7617526920219134,0.7630570281310034,0.5077382396082372
width_shift,0.6955586334256695,0.6960108165149717,0.691203007518797,0.6745001978630788,0.6679103020709669,0.6670386492547157,0.6613597150771666,0.6677530668777206,0.5021627753594512
zca_whitening,0.7778268189557864,0.7839581778874668,0.7795387323270008,0.7531705217241578,0.765765941571486,0.7661654135338346,0.7642637127169069,0.7630086667049303,0.4965394402035623
